id,roleta,contagens,estrategia,criadoem,hora,data
302,Quantum Roulette Live,6,Ausencia Coluna 2,1672173177499,20:32:57,2022-12-27
303,Quantum Roulette Live,7,Ausencia Coluna 1,1672173177500,20:32:57,2022-12-27
304,Quantum Roulette Live,6,Ausencia Coluna 2,1672173177501,20:32:57,2022-12-27
305,Football Roulette,6,Ausencia Coluna 3,1672173177527,20:32:57,2022-12-27
306,Football Roulette,6,Ausencia Coluna 1,1672173177533,20:32:57,2022-12-27
307,Football Roulette,6,Ausencia Duzia 1,1672173177534,20:32:57,2022-12-27
308,Football Roulette,6,Ausencia Coluna 2,1672173177535,20:32:57,2022-12-27
309,Football Roulette,7,Ausencia Coluna 1,1672173177536,20:32:57,2022-12-27
310,Football Roulette,6,Ausencia Coluna 2,1672173177537,20:32:57,2022-12-27
311,Football Roulette,6,Ausencia Duzia 2,1672173177532,20:32:57,2022-12-27
312,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 3,1672173185967,20:33:05,2022-12-27
313,Who Wants To Be a Millionaire? Roulette,6,Ausencia Duzia 2,1672173185978,20:33:05,2022-12-27
314,Who Wants To Be a Millionaire? Roulette,6,Ausencia Duzia 1,1672173185979,20:33:05,2022-12-27
315,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 1,1672173185979,20:33:05,2022-12-27
316,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 2,1672173185980,20:33:05,2022-12-27
317,Who Wants To Be a Millionaire? Roulette,7,Ausencia Coluna 1,1672173185981,20:33:05,2022-12-27
318,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 2,1672173185981,20:33:05,2022-12-27
319,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672173189308,20:33:09,2022-12-27
320,bet365 Dutch Roulette,6,Ausencia Duzia 2,1672173189315,20:33:09,2022-12-27
321,bet365 Dutch Roulette,6,Ausencia Coluna 1,1672173189316,20:33:09,2022-12-27
322,bet365 Dutch Roulette,6,Ausencia Duzia 1,1672173189316,20:33:09,2022-12-27
323,bet365 Dutch Roulette,6,Ausencia Coluna 2,1672173189317,20:33:09,2022-12-27
324,bet365 Dutch Roulette,6,Ausencia Coluna 2,1672173189319,20:33:09,2022-12-27
325,bet365 Dutch Roulette,7,Ausencia Coluna 1,1672173189318,20:33:09,2022-12-27
326,bet365 Dutch Roulette,6,Ausencia Duzia 3,1672173189320,20:33:09,2022-12-27
327,Super Spin Roulette,6,Ausencia Coluna 3,1672173193602,20:33:13,2022-12-27
328,Super Spin Roulette,6,Ausencia Duzia 2,1672173193606,20:33:13,2022-12-27
329,Super Spin Roulette,6,Ausencia Coluna 1,1672173193607,20:33:13,2022-12-27
330,Super Spin Roulette,6,Ausencia Duzia 1,1672173193608,20:33:13,2022-12-27
331,Super Spin Roulette,6,Ausencia Coluna 2,1672173193609,20:33:13,2022-12-27
332,Super Spin Roulette,7,Ausencia Coluna 1,1672173193610,20:33:13,2022-12-27
333,Super Spin Roulette,6,Ausencia Coluna 2,1672173193612,20:33:13,2022-12-27
334,Super Spin Roulette,6,Ausencia Duzia 3,1672173193613,20:33:13,2022-12-27
335,Super Spin Roulette,6,Ausencia Duzia 1,1672173193616,20:33:13,2022-12-27
336,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672173199549,20:33:19,2022-12-27
337,Roleta Brasileira bet365,6,Ausencia Duzia 2,1672173199560,20:33:19,2022-12-27
338,Roleta Brasileira bet365,6,Ausencia Coluna 1,1672173199562,20:33:19,2022-12-27
339,Roleta Brasileira bet365,6,Ausencia Duzia 1,1672173199564,20:33:19,2022-12-27
340,Roleta Brasileira bet365,6,Ausencia Coluna 2,1672173199566,20:33:19,2022-12-27
341,Roleta Brasileira bet365,7,Ausencia Coluna 1,1672173199567,20:33:19,2022-12-27
342,Roleta Brasileira bet365,6,Ausencia Duzia 3,1672173199570,20:33:19,2022-12-27
343,Roleta Brasileira bet365,6,Ausencia Duzia 1,1672173199571,20:33:19,2022-12-27
344,Roleta Brasileira bet365,6,Ausencia Coluna 2,1672173199568,20:33:19,2022-12-27
345,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672173210573,20:33:30,2022-12-27
346,Ruleta Latinoamérica bet365,6,Ausencia Duzia 2,1672173210591,20:33:30,2022-12-27
347,Ruleta Latinoamérica bet365,6,Ausencia Coluna 1,1672173210592,20:33:30,2022-12-27
348,Ruleta Latinoamérica bet365,6,Ausencia Duzia 1,1672173210597,20:33:30,2022-12-27
349,Ruleta Latinoamérica bet365,6,Ausencia Coluna 2,1672173210601,20:33:30,2022-12-27
350,Ruleta Latinoamérica bet365,7,Ausencia Coluna 1,1672173210603,20:33:30,2022-12-27
351,Ruleta Latinoamérica bet365,6,Ausencia Coluna 2,1672173210605,20:33:30,2022-12-27
352,Ruleta Latinoamérica bet365,6,Ausencia Duzia 3,1672173210607,20:33:30,2022-12-27
353,Ruleta Latinoamérica bet365,6,Ausencia Duzia 1,1672173210608,20:33:30,2022-12-27
354,Ruleta Latinoamérica bet365,6,Ausencia Coluna 1,1672173210609,20:33:30,2022-12-27
355,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672173210612,20:33:30,2022-12-27
356,Ruleta Latinoamérica bet365,6,Preto,1672173210614,20:33:30,2022-12-27
357,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 3,1672173210679,20:33:30,2022-12-27
358,Age Of The Gods Bonus Roulette,6,Ausencia Duzia 2,1672173210688,20:33:30,2022-12-27
359,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 1,1672173210690,20:33:30,2022-12-27
360,Age Of The Gods Bonus Roulette,6,Ausencia Duzia 1,1672173210690,20:33:30,2022-12-27
361,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 2,1672173210691,20:33:30,2022-12-27
362,Age Of The Gods Bonus Roulette,7,Ausencia Coluna 1,1672173210692,20:33:30,2022-12-27
363,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 2,1672173210693,20:33:30,2022-12-27
364,Age Of The Gods Bonus Roulette,6,Ausencia Duzia 3,1672173210696,20:33:30,2022-12-27
365,Age Of The Gods Bonus Roulette,6,Ausencia Duzia 1,1672173210698,20:33:30,2022-12-27
366,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 1,1672173210700,20:33:30,2022-12-27
367,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 3,1672173210701,20:33:30,2022-12-27
368,Age Of The Gods Bonus Roulette,6,Preto,1672173210702,20:33:30,2022-12-27
369,Hindi Roulette,6,Ausencia Coluna 3,1672173220322,20:33:40,2022-12-27
370,Hindi Roulette,6,Ausencia Duzia 2,1672173220328,20:33:40,2022-12-27
371,Hindi Roulette,6,Ausencia Coluna 1,1672173220331,20:33:40,2022-12-27
372,Hindi Roulette,6,Ausencia Duzia 1,1672173220333,20:33:40,2022-12-27
373,Hindi Roulette,6,Ausencia Coluna 2,1672173220337,20:33:40,2022-12-27
374,Hindi Roulette,7,Ausencia Coluna 1,1672173220340,20:33:40,2022-12-27
375,Hindi Roulette,6,Ausencia Coluna 2,1672173220343,20:33:40,2022-12-27
376,Hindi Roulette,6,Ausencia Duzia 3,1672173220345,20:33:40,2022-12-27
377,Hindi Roulette,6,Ausencia Duzia 1,1672173220347,20:33:40,2022-12-27
378,Hindi Roulette,6,Ausencia Coluna 1,1672173220348,20:33:40,2022-12-27
379,Hindi Roulette,6,Ausencia Coluna 3,1672173220349,20:33:40,2022-12-27
380,Hindi Roulette,6,Preto,1672173220350,20:33:40,2022-12-27
381,bet365 Roulette,6,Ausencia Coluna 3,1672173225369,20:33:45,2022-12-27
382,bet365 Roulette,6,Ausencia Coluna 1,1672173225376,20:33:45,2022-12-27
383,bet365 Roulette,6,Ausencia Duzia 2,1672173225374,20:33:45,2022-12-27
384,bet365 Roulette,6,Ausencia Duzia 1,1672173225378,20:33:45,2022-12-27
385,bet365 Roulette,6,Ausencia Coluna 2,1672173225382,20:33:45,2022-12-27
386,bet365 Roulette,7,Ausencia Coluna 1,1672173225384,20:33:45,2022-12-27
387,bet365 Roulette,6,Ausencia Coluna 2,1672173225386,20:33:45,2022-12-27
388,bet365 Roulette,6,Ausencia Duzia 3,1672173225386,20:33:45,2022-12-27
389,bet365 Roulette,6,Ausencia Coluna 1,1672173225388,20:33:45,2022-12-27
390,bet365 Roulette,6,Ausencia Coluna 3,1672173225389,20:33:45,2022-12-27
391,bet365 Roulette,6,Preto,1672173225389,20:33:45,2022-12-27
392,bet365 Roulette,8,Ausencia Coluna 1,1672173225390,20:33:45,2022-12-27
393,bet365 Roulette,6,Ausencia Duzia 1,1672173225387,20:33:45,2022-12-27
394,bet365 Roulette,7,Ausencia Duzia 3,1672173225392,20:33:45,2022-12-27
395,bet365 Roulette,7,Ausencia Coluna 2,1672173225394,20:33:45,2022-12-27
396,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672173225426,20:33:45,2022-12-27
397,bet365 Dutch Roulette,6,Ausencia Duzia 2,1672173225433,20:33:45,2022-12-27
398,bet365 Dutch Roulette,6,Ausencia Coluna 1,1672173225434,20:33:45,2022-12-27
399,bet365 Dutch Roulette,6,Ausencia Duzia 1,1672173225435,20:33:45,2022-12-27
400,bet365 Dutch Roulette,6,Ausencia Coluna 2,1672173225436,20:33:45,2022-12-27
401,bet365 Dutch Roulette,7,Ausencia Coluna 1,1672173225437,20:33:45,2022-12-27
402,bet365 Dutch Roulette,6,Ausencia Coluna 2,1672173225438,20:33:45,2022-12-27
403,bet365 Dutch Roulette,6,Ausencia Duzia 3,1672173225439,20:33:45,2022-12-27
404,bet365 Dutch Roulette,6,Ausencia Duzia 1,1672173225440,20:33:45,2022-12-27
405,bet365 Dutch Roulette,6,Ausencia Coluna 1,1672173225441,20:33:45,2022-12-27
406,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672173225442,20:33:45,2022-12-27
407,bet365 Dutch Roulette,6,Preto,1672173225443,20:33:45,2022-12-27
408,bet365 Dutch Roulette,7,Ausencia Coluna 2,1672173225446,20:33:45,2022-12-27
409,bet365 Dutch Roulette,8,Ausencia Coluna 1,1672173225444,20:33:45,2022-12-27
410,bet365 Dutch Roulette,7,Ausencia Duzia 3,1672173225445,20:33:45,2022-12-27
411,Roulette,6,Ausencia Coluna 3,1672173225478,20:33:45,2022-12-27
412,Roulette,6,Ausencia Duzia 2,1672173225486,20:33:45,2022-12-27
413,Roulette,6,Ausencia Coluna 1,1672173225487,20:33:45,2022-12-27
414,Roulette,6,Ausencia Duzia 1,1672173225489,20:33:45,2022-12-27
415,Roulette,6,Ausencia Coluna 2,1672173225490,20:33:45,2022-12-27
416,Roulette,7,Ausencia Coluna 1,1672173225491,20:33:45,2022-12-27
417,Roulette,6,Ausencia Coluna 2,1672173225491,20:33:45,2022-12-27
418,Roulette,6,Ausencia Duzia 3,1672173225492,20:33:45,2022-12-27
419,Roulette,6,Ausencia Duzia 1,1672173225493,20:33:45,2022-12-27
420,Roulette,6,Ausencia Coluna 1,1672173225494,20:33:45,2022-12-27
421,Roulette,6,Ausencia Coluna 3,1672173225499,20:33:45,2022-12-27
422,Roulette,8,Ausencia Coluna 1,1672173225503,20:33:45,2022-12-27
423,Roulette,7,Ausencia Duzia 3,1672173225505,20:33:45,2022-12-27
424,Roulette,7,Ausencia Coluna 2,1672173225506,20:33:45,2022-12-27
425,Roulette,6,Preto,1672173225502,20:33:45,2022-12-27
426,Football Roulette,6,Ausencia Coluna 3,1672173225557,20:33:45,2022-12-27
427,Football Roulette,6,Ausencia Duzia 2,1672173225563,20:33:45,2022-12-27
428,Football Roulette,6,Ausencia Coluna 1,1672173225564,20:33:45,2022-12-27
429,Football Roulette,6,Ausencia Duzia 1,1672173225564,20:33:45,2022-12-27
430,Football Roulette,6,Ausencia Coluna 2,1672173225565,20:33:45,2022-12-27
431,Football Roulette,7,Ausencia Coluna 1,1672173225566,20:33:45,2022-12-27
432,Football Roulette,6,Ausencia Coluna 2,1672173225567,20:33:45,2022-12-27
433,Football Roulette,6,Ausencia Duzia 3,1672173225568,20:33:45,2022-12-27
434,Football Roulette,6,Ausencia Duzia 1,1672173225571,20:33:45,2022-12-27
435,Football Roulette,6,Ausencia Coluna 1,1672173225573,20:33:45,2022-12-27
436,Football Roulette,6,Ausencia Coluna 3,1672173225574,20:33:45,2022-12-27
437,Football Roulette,6,Preto,1672173225575,20:33:45,2022-12-27
438,Football Roulette,8,Ausencia Coluna 1,1672173225576,20:33:45,2022-12-27
439,Football Roulette,7,Ausencia Duzia 3,1672173225577,20:33:45,2022-12-27
440,Football Roulette,7,Ausencia Coluna 2,1672173225578,20:33:45,2022-12-27
441,Super Spin Roulette,6,Ausencia Coluna 3,1672173249152,20:34:09,2022-12-27
442,Super Spin Roulette,6,Ausencia Duzia 2,1672173249163,20:34:09,2022-12-27
443,Super Spin Roulette,6,Ausencia Coluna 1,1672173249164,20:34:09,2022-12-27
444,Super Spin Roulette,6,Ausencia Duzia 1,1672173249165,20:34:09,2022-12-27
445,Super Spin Roulette,7,Ausencia Coluna 1,1672173249168,20:34:09,2022-12-27
446,Super Spin Roulette,6,Ausencia Coluna 2,1672173249169,20:34:09,2022-12-27
447,Super Spin Roulette,6,Ausencia Coluna 2,1672173249167,20:34:09,2022-12-27
448,Super Spin Roulette,6,Ausencia Duzia 3,1672173249169,20:34:09,2022-12-27
449,Super Spin Roulette,6,Ausencia Duzia 1,1672173249170,20:34:09,2022-12-27
450,Super Spin Roulette,6,Ausencia Coluna 1,1672173249171,20:34:09,2022-12-27
451,Super Spin Roulette,6,Ausencia Coluna 3,1672173249173,20:34:09,2022-12-27
452,Super Spin Roulette,6,Preto,1672173249174,20:34:09,2022-12-27
453,Super Spin Roulette,8,Ausencia Coluna 1,1672173249176,20:34:09,2022-12-27
454,Super Spin Roulette,7,Ausencia Duzia 3,1672173249177,20:34:09,2022-12-27
455,Super Spin Roulette,7,Ausencia Coluna 2,1672173249178,20:34:09,2022-12-27
456,Super Spin Roulette,7,Ausencia Duzia 1,1672173249179,20:34:09,2022-12-27
457,Super Spin Roulette,6,Ausencia Duzia 3,1672173249180,20:34:09,2022-12-27
458,Super Spin Roulette,6,Impar,1672173249181,20:34:09,2022-12-27
459,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672173249220,20:34:09,2022-12-27
460,Roleta Brasileira bet365,6,Ausencia Duzia 2,1672173249226,20:34:09,2022-12-27
461,Roleta Brasileira bet365,6,Ausencia Duzia 1,1672173249232,20:34:09,2022-12-27
462,Roleta Brasileira bet365,6,Ausencia Coluna 2,1672173249234,20:34:09,2022-12-27
463,Roleta Brasileira bet365,6,Ausencia Coluna 1,1672173249231,20:34:09,2022-12-27
464,Roleta Brasileira bet365,7,Ausencia Coluna 1,1672173249235,20:34:09,2022-12-27
465,Roleta Brasileira bet365,6,Ausencia Coluna 2,1672173249236,20:34:09,2022-12-27
466,Roleta Brasileira bet365,6,Ausencia Duzia 3,1672173249237,20:34:09,2022-12-27
467,Roleta Brasileira bet365,6,Ausencia Duzia 1,1672173249238,20:34:09,2022-12-27
468,Roleta Brasileira bet365,6,Ausencia Coluna 1,1672173249240,20:34:09,2022-12-27
469,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672173249241,20:34:09,2022-12-27
470,Roleta Brasileira bet365,6,Preto,1672173249243,20:34:09,2022-12-27
471,Roleta Brasileira bet365,8,Ausencia Coluna 1,1672173249248,20:34:09,2022-12-27
472,Roleta Brasileira bet365,7,Ausencia Duzia 3,1672173249249,20:34:09,2022-12-27
473,Roleta Brasileira bet365,7,Ausencia Coluna 2,1672173249250,20:34:09,2022-12-27
474,Roleta Brasileira bet365,7,Ausencia Duzia 1,1672173249251,20:34:09,2022-12-27
475,Roleta Brasileira bet365,6,Ausencia Duzia 3,1672173249252,20:34:09,2022-12-27
476,Roleta Brasileira bet365,6,Impar,1672173249253,20:34:09,2022-12-27
477,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 3,1672173249277,20:34:09,2022-12-27
478,Who Wants To Be a Millionaire? Roulette,6,Ausencia Duzia 2,1672173249280,20:34:09,2022-12-27
479,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 1,1672173249281,20:34:09,2022-12-27
480,Who Wants To Be a Millionaire? Roulette,6,Ausencia Duzia 1,1672173249282,20:34:09,2022-12-27
481,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 2,1672173249282,20:34:09,2022-12-27
482,Who Wants To Be a Millionaire? Roulette,7,Ausencia Coluna 1,1672173249284,20:34:09,2022-12-27
483,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 2,1672173249289,20:34:09,2022-12-27
484,Who Wants To Be a Millionaire? Roulette,6,Ausencia Duzia 3,1672173249291,20:34:09,2022-12-27
485,Who Wants To Be a Millionaire? Roulette,6,Ausencia Duzia 1,1672173249292,20:34:09,2022-12-27
486,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 1,1672173249292,20:34:09,2022-12-27
487,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 3,1672173249293,20:34:09,2022-12-27
488,Who Wants To Be a Millionaire? Roulette,6,Preto,1672173249294,20:34:09,2022-12-27
489,Who Wants To Be a Millionaire? Roulette,8,Ausencia Coluna 1,1672173249295,20:34:09,2022-12-27
490,Who Wants To Be a Millionaire? Roulette,7,Ausencia Duzia 3,1672173249296,20:34:09,2022-12-27
491,Who Wants To Be a Millionaire? Roulette,7,Ausencia Coluna 2,1672173249297,20:34:09,2022-12-27
492,Who Wants To Be a Millionaire? Roulette,6,Ausencia Duzia 3,1672173249299,20:34:09,2022-12-27
493,Who Wants To Be a Millionaire? Roulette,7,Ausencia Duzia 1,1672173249298,20:34:09,2022-12-27
494,Who Wants To Be a Millionaire? Roulette,6,Impar,1672173249301,20:34:09,2022-12-27
495,Mega Fire Blaze Roulette Live,6,Ausencia Coluna 3,1672173249330,20:34:09,2022-12-27
496,Mega Fire Blaze Roulette Live,6,Ausencia Duzia 2,1672173249334,20:34:09,2022-12-27
497,Mega Fire Blaze Roulette Live,6,Ausencia Coluna 1,1672173249336,20:34:09,2022-12-27
498,Mega Fire Blaze Roulette Live,6,Ausencia Duzia 1,1672173249339,20:34:09,2022-12-27
499,Mega Fire Blaze Roulette Live,7,Ausencia Coluna 1,1672173249341,20:34:09,2022-12-27
500,Mega Fire Blaze Roulette Live,6,Ausencia Coluna 2,1672173249342,20:34:09,2022-12-27
501,Mega Fire Blaze Roulette Live,6,Ausencia Duzia 3,1672173249343,20:34:09,2022-12-27
502,Mega Fire Blaze Roulette Live,6,Ausencia Duzia 1,1672173249344,20:34:09,2022-12-27
503,Mega Fire Blaze Roulette Live,6,Ausencia Coluna 1,1672173249345,20:34:09,2022-12-27
504,Mega Fire Blaze Roulette Live,6,Ausencia Coluna 3,1672173249346,20:34:09,2022-12-27
505,Mega Fire Blaze Roulette Live,6,Preto,1672173249347,20:34:09,2022-12-27
506,Mega Fire Blaze Roulette Live,8,Ausencia Coluna 1,1672173249348,20:34:09,2022-12-27
507,Mega Fire Blaze Roulette Live,7,Ausencia Coluna 2,1672173249354,20:34:09,2022-12-27
508,Mega Fire Blaze Roulette Live,7,Ausencia Duzia 1,1672173249356,20:34:09,2022-12-27
509,Mega Fire Blaze Roulette Live,6,Ausencia Duzia 3,1672173249357,20:34:09,2022-12-27
510,Mega Fire Blaze Roulette Live,6,Impar,1672173249358,20:34:09,2022-12-27
511,Mega Fire Blaze Roulette Live,6,Ausencia Coluna 2,1672173249340,20:34:09,2022-12-27
512,Quantum Roulette Live,6,Ausencia Coluna 3,1672173249381,20:34:09,2022-12-27
513,Quantum Roulette Live,6,Ausencia Duzia 2,1672173249386,20:34:09,2022-12-27
514,Quantum Roulette Live,6,Ausencia Coluna 1,1672173249390,20:34:09,2022-12-27
515,Quantum Roulette Live,6,Ausencia Duzia 1,1672173249391,20:34:09,2022-12-27
516,Quantum Roulette Live,6,Ausencia Coluna 2,1672173249393,20:34:09,2022-12-27
517,Mega Fire Blaze Roulette Live,7,Ausencia Duzia 3,1672173249351,20:34:09,2022-12-27
518,Quantum Roulette Live,7,Ausencia Coluna 1,1672173249394,20:34:09,2022-12-27
519,Quantum Roulette Live,6,Ausencia Duzia 1,1672173249397,20:34:09,2022-12-27
520,Quantum Roulette Live,6,Ausencia Coluna 1,1672173249397,20:34:09,2022-12-27
521,Quantum Roulette Live,6,Ausencia Duzia 3,1672173249396,20:34:09,2022-12-27
522,Quantum Roulette Live,6,Ausencia Coluna 2,1672173249395,20:34:09,2022-12-27
523,Quantum Roulette Live,6,Ausencia Coluna 3,1672173249398,20:34:09,2022-12-27
524,Quantum Roulette Live,6,Preto,1672173249399,20:34:09,2022-12-27
525,Quantum Roulette Live,8,Ausencia Coluna 1,1672173249402,20:34:09,2022-12-27
526,Quantum Roulette Live,7,Ausencia Duzia 3,1672173249406,20:34:09,2022-12-27
527,Quantum Roulette Live,7,Ausencia Coluna 2,1672173249407,20:34:09,2022-12-27
528,Quantum Roulette Live,7,Ausencia Duzia 1,1672173249408,20:34:09,2022-12-27
529,Quantum Roulette Live,6,Ausencia Duzia 3,1672173249409,20:34:09,2022-12-27
530,Quantum Roulette Live,6,Impar,1672173249410,20:34:09,2022-12-27
531,bet365 Roulette,6,Ausencia Coluna 3,1672173285636,20:34:45,2022-12-27
532,bet365 Roulette,6,Ausencia Duzia 2,1672173285649,20:34:45,2022-12-27
533,bet365 Roulette,6,Ausencia Coluna 1,1672173285651,20:34:45,2022-12-27
534,bet365 Roulette,6,Ausencia Duzia 1,1672173285653,20:34:45,2022-12-27
535,bet365 Roulette,6,Ausencia Coluna 2,1672173285654,20:34:45,2022-12-27
536,bet365 Roulette,7,Ausencia Coluna 1,1672173285655,20:34:45,2022-12-27
537,bet365 Roulette,6,Ausencia Coluna 2,1672173285658,20:34:45,2022-12-27
538,bet365 Roulette,6,Ausencia Duzia 3,1672173285660,20:34:45,2022-12-27
539,bet365 Roulette,6,Ausencia Duzia 1,1672173285662,20:34:45,2022-12-27
540,bet365 Roulette,6,Ausencia Coluna 1,1672173285663,20:34:45,2022-12-27
541,bet365 Roulette,6,Ausencia Coluna 3,1672173285664,20:34:45,2022-12-27
542,bet365 Roulette,6,Preto,1672173285665,20:34:45,2022-12-27
543,bet365 Roulette,8,Ausencia Coluna 1,1672173285667,20:34:45,2022-12-27
544,bet365 Roulette,7,Ausencia Duzia 3,1672173285668,20:34:45,2022-12-27
545,bet365 Roulette,7,Ausencia Coluna 2,1672173285668,20:34:45,2022-12-27
546,bet365 Roulette,7,Ausencia Duzia 1,1672173285669,20:34:45,2022-12-27
547,bet365 Roulette,6,Ausencia Duzia 3,1672173285670,20:34:45,2022-12-27
548,bet365 Roulette,6,Impar,1672173285671,20:34:45,2022-12-27
549,bet365 Roulette,6,Ausencia Coluna 1,1672173285673,20:34:45,2022-12-27
550,bet365 Roulette,6,Ausencia Coluna 2,1672173285675,20:34:45,2022-12-27
551,bet365 Roulette,8,Ausencia Coluna 2,1672173285678,20:34:45,2022-12-27
552,bet365 Roulette,7,Ausencia Coluna 1,1672173285679,20:34:45,2022-12-27
553,bet365 Roulette,7,Ausencia Coluna 3,1672173285680,20:34:45,2022-12-27
554,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672173285711,20:34:45,2022-12-27
555,bet365 Dutch Roulette,6,Ausencia Duzia 2,1672173285717,20:34:45,2022-12-27
556,bet365 Dutch Roulette,6,Ausencia Coluna 1,1672173285718,20:34:45,2022-12-27
557,bet365 Dutch Roulette,6,Ausencia Duzia 1,1672173285719,20:34:45,2022-12-27
558,bet365 Dutch Roulette,6,Ausencia Coluna 2,1672173285719,20:34:45,2022-12-27
559,bet365 Dutch Roulette,7,Ausencia Coluna 1,1672173285720,20:34:45,2022-12-27
560,bet365 Dutch Roulette,6,Ausencia Coluna 2,1672173285724,20:34:45,2022-12-27
561,bet365 Dutch Roulette,6,Ausencia Duzia 3,1672173285727,20:34:45,2022-12-27
562,bet365 Dutch Roulette,6,Ausencia Duzia 1,1672173285729,20:34:45,2022-12-27
563,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672173285731,20:34:45,2022-12-27
564,bet365 Dutch Roulette,6,Preto,1672173285732,20:34:45,2022-12-27
565,bet365 Dutch Roulette,6,Ausencia Coluna 1,1672173285730,20:34:45,2022-12-27
566,bet365 Dutch Roulette,8,Ausencia Coluna 1,1672173285733,20:34:45,2022-12-27
567,bet365 Dutch Roulette,7,Ausencia Duzia 3,1672173285734,20:34:45,2022-12-27
568,bet365 Dutch Roulette,7,Ausencia Coluna 2,1672173285735,20:34:45,2022-12-27
569,bet365 Dutch Roulette,7,Ausencia Duzia 1,1672173285736,20:34:45,2022-12-27
570,bet365 Dutch Roulette,6,Ausencia Duzia 3,1672173285737,20:34:45,2022-12-27
571,bet365 Dutch Roulette,6,Impar,1672173285739,20:34:45,2022-12-27
572,bet365 Dutch Roulette,6,Ausencia Coluna 1,1672173285742,20:34:45,2022-12-27
573,bet365 Dutch Roulette,6,Ausencia Coluna 2,1672173285745,20:34:45,2022-12-27
574,bet365 Dutch Roulette,8,Ausencia Coluna 2,1672173285746,20:34:45,2022-12-27
575,bet365 Dutch Roulette,7,Ausencia Coluna 1,1672173285747,20:34:45,2022-12-27
576,bet365 Dutch Roulette,7,Ausencia Coluna 3,1672173285748,20:34:45,2022-12-27
577,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672173285781,20:34:45,2022-12-27
578,Ruleta Latinoamérica bet365,6,Ausencia Duzia 2,1672173285785,20:34:45,2022-12-27
579,Ruleta Latinoamérica bet365,6,Ausencia Coluna 1,1672173285786,20:34:45,2022-12-27
580,Ruleta Latinoamérica bet365,6,Ausencia Coluna 2,1672173285789,20:34:45,2022-12-27
581,Ruleta Latinoamérica bet365,6,Ausencia Duzia 1,1672173285787,20:34:45,2022-12-27
582,Ruleta Latinoamérica bet365,7,Ausencia Coluna 1,1672173285790,20:34:45,2022-12-27
583,Ruleta Latinoamérica bet365,6,Ausencia Coluna 2,1672173285794,20:34:45,2022-12-27
584,Ruleta Latinoamérica bet365,6,Ausencia Duzia 3,1672173285795,20:34:45,2022-12-27
585,Ruleta Latinoamérica bet365,6,Ausencia Duzia 1,1672173285796,20:34:45,2022-12-27
586,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672173285799,20:34:45,2022-12-27
587,Ruleta Latinoamérica bet365,6,Preto,1672173285800,20:34:45,2022-12-27
588,Ruleta Latinoamérica bet365,7,Ausencia Duzia 3,1672173285802,20:34:45,2022-12-27
589,Ruleta Latinoamérica bet365,8,Ausencia Coluna 1,1672173285801,20:34:45,2022-12-27
590,Ruleta Latinoamérica bet365,7,Ausencia Coluna 2,1672173285802,20:34:45,2022-12-27
591,Ruleta Latinoamérica bet365,7,Ausencia Duzia 1,1672173285807,20:34:45,2022-12-27
592,Ruleta Latinoamérica bet365,6,Ausencia Duzia 3,1672173285809,20:34:45,2022-12-27
593,Ruleta Latinoamérica bet365,6,Impar,1672173285811,20:34:45,2022-12-27
594,Ruleta Latinoamérica bet365,6,Ausencia Coluna 1,1672173285813,20:34:45,2022-12-27
595,Ruleta Latinoamérica bet365,6,Ausencia Coluna 2,1672173285814,20:34:45,2022-12-27
596,Ruleta Latinoamérica bet365,8,Ausencia Coluna 2,1672173285816,20:34:45,2022-12-27
597,Ruleta Latinoamérica bet365,7,Ausencia Coluna 1,1672173285817,20:34:45,2022-12-27
598,Ruleta Latinoamérica bet365,7,Ausencia Coluna 3,1672173285818,20:34:45,2022-12-27
599,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672173285848,20:34:45,2022-12-27
